GAMEID;GAMETYPE;THEMES;MECHANICS
GAME_9118;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";"[
  ""MECH_19""
]"
GAME_9121;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_77""
]";"[
  ""MECH_158"",
  ""MECH_162"",
  ""MECH_178"",
  ""MECH_181"",
  ""MECH_19"",
  ""MECH_53"",
  ""MECH_85""
]"
GAME_9122;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_77""
]";"[
  ""MECH_158"",
  ""MECH_162"",
  ""MECH_178"",
  ""MECH_181"",
  ""MECH_19"",
  ""MECH_53"",
  ""MECH_85""
]"
GAME_9125;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_75""
]";[]
GAME_9126;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_75""
]";[]
GAME_9137;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_77""
]";"[
  ""MECH_19""
]"
GAME_9138;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_77""
]";"[
  ""MECH_19""
]"
GAME_9139;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_75""
]";"[
  ""MECH_19""
]"
GAME_9140;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_75""
]";"[
  ""MECH_19""
]"
GAME_9141;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_75""
]";"[
  ""MECH_19""
]"
GAME_9142;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_75""
]";"[
  ""MECH_19""
]"
GAME_9143;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_75""
]";"[
  ""MECH_19""
]"
GAME_9144;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_75""
]";"[
  ""MECH_19""
]"
GAME_9145;TYPE_8;"[
  ""THEME_28"",
  ""THEME_37"",
  ""THEME_78""
]";"[
  ""MECH_19""
]"
GAME_9146;TYPE_8;"[
  ""THEME_28"",
  ""THEME_37"",
  ""THEME_78""
]";"[
  ""MECH_19""
]"
GAME_8823;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_77""
]";"[
  ""MECH_19""
]"
GAME_8824;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_60""
]";"[
  ""MECH_19""
]"
GAME_8825;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_60""
]";"[
  ""MECH_19""
]"
GAME_8826;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_60""
]";"[
  ""MECH_19""
]"
GAME_8827;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_60""
]";"[
  ""MECH_19""
]"
GAME_8828;TYPE_8;"[
  ""THEME_24"",
  ""THEME_78"",
  ""THEME_86""
]";"[
  ""MECH_19""
]"
GAME_8829;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_60""
]";"[
  ""MECH_19""
]"
GAME_8830;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_60""
]";"[
  ""MECH_19""
]"
GAME_8831;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_77""
]";"[
  ""MECH_19""
]"
GAME_8832;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_28""
]";[]
GAME_8833;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_77""
]";"[
  ""MECH_19""
]"
GAME_8834;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";"[
  ""MECH_19""
]"
GAME_8835;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_60""
]";"[
  ""MECH_19""
]"
GAME_8836;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_77""
]";"[
  ""MECH_19""
]"
GAME_8837;TYPE_8;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_28""
]";[]
GAME_8838;TYPE_8;"[
  ""THEME_125"",
  ""THEME_24"",
  ""THEME_72""
]";[]
GAME_8839;TYPE_8;"[
  ""THEME_125"",
  ""THEME_24"",
  ""THEME_72""
]";[]
GAME_8840;TYPE_8;"[
  ""THEME_117"",
  ""THEME_125"",
  ""THEME_24""
]";[]
GAME_8841;TYPE_8;"[
  ""THEME_24"",
  ""THEME_60"",
  ""THEME_78""
]";[]
GAME_8842;TYPE_8;"[
  ""THEME_117"",
  ""THEME_125"",
  ""THEME_24""
]";[]
GAME_8843;TYPE_8;"[
  ""THEME_125"",
  ""THEME_24"",
  ""THEME_72""
]";[]
GAME_8844;TYPE_8;"[
  ""THEME_125"",
  ""THEME_24"",
  ""THEME_72""
]";[]
GAME_8845;TYPE_8;"[
  ""THEME_125"",
  ""THEME_24"",
  ""THEME_72""
]";[]
GAME_8846;TYPE_8;"[
  ""THEME_117"",
  ""THEME_125"",
  ""THEME_24""
]";[]
